Ward,Latitude,Longitude,Crime_Type,Datetime,Hour,TimeSlot,DayOfWeek
Itwari,21.15039,79.099109,Assault_Violence,2025-05-21 11:24:36.537120,21,Evening,Wednesday
Mahal,21.18894,79.034294,Other,2024-11-20 13:24:36.537188,23,Evening,Wednesday
Dharampeth,21.157442,79.12282,Assault_Violence,2025-07-30 22:24:36.537217,8,Morning,Wednesday
Dharampeth,21.11789,79.115003,Other,2024-08-22 19:24:36.537239,5,Night,Thursday
Itwari,21.169448,79.024503,Other,2025-04-17 09:24:36.537260,19,Evening,Thursday
Itwari,21.121753,79.117642,Theft_Burglary,2025-07-12 11:24:36.537280,21,Evening,Saturday
Sadar,21.086326,79.135037,Theft_Burglary,2024-09-05 10:24:36.537297,20,Evening,Thursday
Dharampeth,21.173403,79.143573,Crimes_Against_Women,2024-10-23 06:24:36.537323,16,Afternoon,Wednesday
Jaripatka,21.16992,79.112835,Robbery_Snatching,2024-09-19 21:24:36.537340,7,Morning,Thursday
Ajni,21.166254,79.047201,Assault_Violence,2025-05-14 12:24:36.537358,22,Evening,Wednesday
Jaripatka,21.12266,79.100098,Assault_Violence,2025-06-27 13:24:36.537375,23,Evening,Friday
Sitabuldi,21.176198,79.041719,Theft_Burglary,2025-02-28 09:24:36.537393,19,Evening,Friday
Ajni,21.12555,79.08485,Theft_Burglary,2024-12-28 09:24:36.537411,19,Evening,Saturday
Mankapur,21.106079,79.021923,Crimes_Against_Women,2024-08-23 17:24:36.537430,3,Night,Friday
Jaripatka,21.080909,79.063947,Other,2024-09-18 21:24:36.537448,7,Morning,Wednesday
Manewada,21.161308,79.097332,Crimes_Against_Women,2024-12-23 08:24:36.537465,18,Evening,Monday
Sadar,21.196889,79.049077,Other,2024-10-08 09:24:36.537481,19,Evening,Tuesday
Dharampeth,21.191551,79.140219,Other,2025-05-09 07:24:36.537498,17,Afternoon,Friday
Mahal,21.15219,79.102155,Other,2024-10-14 11:24:36.537516,21,Evening,Monday
Hudkeshwar,21.119063,79.132434,Other,2025-03-11 13:24:36.537535,23,Evening,Tuesday
Sitabuldi,21.119032,79.074894,Other,2025-03-23 19:24:36.537553,5,Night,Sunday
Itwari,21.182663,79.05123,Crimes_Against_Women,2025-03-29 08:24:36.537571,18,Evening,Saturday
Ajni,21.111786,79.146683,Assault_Violence,2025-08-06 10:24:36.537588,20,Evening,Wednesday
Sadar,21.12135,79.141147,Crimes_Against_Women,2024-11-16 12:24:36.537604,22,Evening,Saturday
Itwari,21.1227,79.110744,Theft_Burglary,2025-04-06 10:24:36.537621,20,Evening,Sunday
Hudkeshwar,21.152384,79.100306,Robbery_Snatching,2024-12-14 11:24:36.537639,21,Evening,Saturday
Itwari,21.198993,79.047652,Other,2024-11-24 07:24:36.537656,17,Afternoon,Sunday
Dharampeth,21.115231,79.086976,Other,2025-07-05 11:24:36.537672,21,Evening,Saturday
Jaripatka,21.113785,79.024911,Crimes_Against_Women,2024-11-23 13:24:36.537689,23,Evening,Saturday
Dharampeth,21.198726,79.05424,Crimes_Against_Women,2025-04-25 00:24:36.537705,10,Morning,Friday
Mahal,21.112283,79.079298,Assault_Violence,2025-01-11 10:24:36.537723,20,Evening,Saturday
Dharampeth,21.134749,79.126311,Theft_Burglary,2025-07-13 11:24:36.537739,21,Evening,Sunday
Mankapur,21.193455,79.101596,Theft_Burglary,2024-08-27 12:24:36.537755,22,Evening,Tuesday
Mahal,21.133915,79.143508,Crimes_Against_Women,2024-12-10 08:24:36.537773,18,Evening,Tuesday
Ajni,21.198087,79.020848,Crimes_Against_Women,2024-12-15 08:24:36.537789,18,Evening,Sunday
Jaripatka,21.158367,79.121195,Other,2025-04-26 07:24:36.537805,17,Afternoon,Saturday
Hudkeshwar,21.08817,79.044039,Assault_Violence,2025-03-14 10:24:36.537823,20,Evening,Friday
Itwari,21.175012,79.057045,Theft_Burglary,2025-03-03 09:24:36.537839,19,Evening,Monday
Mahal,21.16667,79.106627,Crimes_Against_Women,2024-09-22 11:24:36.537854,21,Evening,Sunday
Itwari,21.135528,79.045437,Crimes_Against_Women,2024-10-24 11:24:36.537870,21,Evening,Thursday
Jaripatka,21.163904,79.094478,Other,2025-07-09 00:24:36.537937,10,Morning,Wednesday
Mankapur,21.163997,79.107048,Other,2024-12-28 13:24:36.537954,23,Evening,Saturday
Dharampeth,21.180604,79.115385,Crimes_Against_Women,2025-07-15 20:24:36.537970,6,Morning,Tuesday
Ajni,21.144035,79.104906,Theft_Burglary,2024-10-05 11:24:36.537986,21,Evening,Saturday
Sitabuldi,21.128858,79.04523,Theft_Burglary,2025-01-29 07:24:36.538003,17,Afternoon,Wednesday
